,name,top1,top5
0,"(0,)",0.6835,0.8826
1,"(1,)",0.6768,0.87722
2,"(2,)",0.68388,0.88234
3,"(3,)",0.68258,0.88212
4,"(4,)",0.68384,0.8824
5,"(5,)",0.68422,0.88266
6,"(6,)",0.6836,0.88242
7,"(7,)",0.68342,0.88224
8,"(8,)",0.6841,0.88286
9,"(9,)",0.68428,0.88272
10,"(10,)",0.68416,0.88188
11,"(11,)",0.6842,0.88252
12,"(12,)",0.68462,0.88234
13,"(13,)",0.68326,0.88272
14,"(0,1)",0.67686,0.87714
15,"(0,2)",0.68426,0.88202
16,"(0,3)",0.68282,0.88226
17,"(0,4)",0.6832,0.8824
18,"(0,5)",0.68348,0.8828
19,"(0,6)",0.68358,0.88252
20,"(0,7)",0.68316,0.88226
21,"(0,8)",0.68342,0.88274
22,"(0,9)",0.68364,0.88276
23,"(0,10)",0.6836,0.88198
24,"(0,11)",0.6842,0.88268
25,"(0,12)",0.68298,0.88228
26,"(0,13)",0.6829,0.88242
27,"(1,2)",0.67738,0.87724
28,"(1,3)",0.67548,0.87644
29,"(1,4)",0.6767,0.87628
30,"(1,5)",0.67848,0.87768
31,"(1,6)",0.67732,0.87692
32,"(1,7)",0.67672,0.87674
33,"(1,8)",0.67718,0.8773
34,"(1,9)",0.67794,0.87662
35,"(1,10)",0.6765,0.87656
36,"(1,11)",0.67738,0.877
37,"(1,12)",0.67688,0.8768
38,"(1,13)",0.67648,0.87686
39,"(2,3)",0.68302,0.88198
40,"(2,4)",0.68356,0.88186
41,"(2,5)",0.68398,0.88252
42,"(2,6)",0.68428,0.88208
43,"(2,7)",0.68336,0.88178
44,"(2,8)",0.684,0.88246
45,"(2,9)",0.68422,0.88216
46,"(2,10)",0.68366,0.88158
47,"(2,11)",0.68442,0.88182
48,"(2,12)",0.68386,0.88182
49,"(2,13)",0.68372,0.88238
50,"(3,4)",0.68246,0.88176
51,"(3,5)",0.68346,0.88236
52,"(3,6)",0.6822,0.88212
53,"(3,7)",0.6827,0.88152
54,"(3,8)",0.6834,0.88248
55,"(3,9)",0.683,0.88232
56,"(3,10)",0.68214,0.88148
57,"(3,11)",0.68328,0.88194
58,"(3,12)",0.68288,0.88186
59,"(3,13)",0.68238,0.88188
60,"(4,5)",0.68374,0.8823
61,"(4,6)",0.6834,0.88194
62,"(4,7)",0.68368,0.88204
63,"(4,8)",0.68372,0.88284
64,"(4,9)",0.68376,0.88264
65,"(4,10)",0.68352,0.88172
66,"(4,11)",0.68372,0.88232
67,"(4,12)",0.68412,0.88182
68,"(4,13)",0.68298,0.88188
69,"(5,6)",0.68416,0.88228
70,"(5,7)",0.68344,0.8824
71,"(5,8)",0.68404,0.88254
72,"(5,9)",0.68498,0.88264
73,"(5,10)",0.68346,0.88214
74,"(5,11)",0.68426,0.88298
75,"(5,12)",0.68456,0.8823
76,"(5,13)",0.68338,0.88222
77,"(6,7)",0.6834,0.88216
78,"(6,8)",0.68342,0.88248
79,"(6,9)",0.68392,0.88256
80,"(6,10)",0.6837,0.8816
81,"(6,11)",0.6842,0.88246
82,"(6,12)",0.68408,0.88194
83,"(6,13)",0.68292,0.8821
84,"(7,8)",0.68394,0.88236
85,"(7,9)",0.68388,0.88262
86,"(7,10)",0.6839,0.88138
87,"(7,11)",0.68366,0.88244
88,"(7,12)",0.68396,0.88176
89,"(7,13)",0.68312,0.8822
90,"(8,9)",0.68446,0.88278
91,"(8,10)",0.68354,0.88224
92,"(8,11)",0.68412,0.88294
93,"(8,12)",0.68398,0.88196
94,"(8,13)",0.6832,0.88246
95,"(9,10)",0.68382,0.88194
96,"(9,11)",0.68486,0.8825
97,"(9,12)",0.68466,0.88232
98,"(9,13)",0.68356,0.882
99,"(10,11)",0.68322,0.88194
100,"(10,12)",0.6831,0.88106
101,"(10,13)",0.68368,0.88162
102,"(11,12)",0.68452,0.88228
103,"(11,13)",0.68368,0.88262
104,"(12,13)",0.68404,0.88174
