,name,top1,top5
0,"(0,2,6,7,8,9,10,11)",0.6841,0.88134
1,"(0,2,4,9,10)",0.68336,0.88092
2,"(2,3,4,5,10,12)",0.68262,0.88014
3,"(0,3,8,9,10,12)",0.6827,0.88084
4,"(4,5,6,8,12,13)",0.68332,0.88088
5,"(0,3,6,7,9,12)",0.68248,0.88112
6,"(1,3,6,11)",0.67564,0.87642
7,"(1,3,4,10,11,13)",0.67314,0.87524
8,"(0,1,3,4,7,9,12)",0.674,0.87482
9,"(1,4,5,7,11,13)",0.6762,0.87658
10,"(0,2,4,6,10,12)",0.68282,0.88026
11,"(0,1,6,7,8,9,12)",0.67642,0.87602
12,"(1,6,8,9)",0.67792,0.87686
13,"(1,3,4,6,7)",0.67432,0.87558
14,"(0,1,3,5,7,10,11,13)",0.67354,0.87566
15,"(1,3,4,10,12)",0.67404,0.87448
16,"(1,3,4,5,6,7,11,13)",0.67416,0.87536
17,"(1,2,3,4,7,9,10,11,12)",0.67396,0.87404
18,"(1,2,4,6,7,12,13)",0.67516,0.8755
19,"(3,4,7,8,10,11,13)",0.68256,0.8808
20,"(0,2,4,5,8)",0.6837,0.88174
21,"(0,3,5,11,12,13)",0.68282,0.88108
22,"(0,3,5,7)",0.68222,0.88212
23,"(1,4,5,6,7,10,11,13)",0.67544,0.87594
24,"(3,5,6,7,9,11,12)",0.68304,0.88088
25,"(0,1,5,6,8,10,11)",0.67668,0.87652
26,"(1,4,5,6,10,11,13)",0.67484,0.8764
27,"(0,1,2,8,9,13)",0.67654,0.87686
28,"(0,3,4,5,8,11,13)",0.68264,0.8811
29,"(0,1,2,3,4,6,8,10,12,13)",0.67216,0.87412
30,"(0,1,2,5,6,8,12)",0.6767,0.87646
31,"(0,2,4,6,7,12,13)",0.6827,0.88078
32,"(1,2,3,4,5,7,10,13)",0.6741,0.87536
33,"(0,2,3,4,5,6,7,9,10,11)",0.68222,0.88034
34,"(1,2,3,4,6,7,8,10)",0.6728,0.87468
35,"(0,1,6,8,9,10,11,13)",0.67544,0.87646
36,"(1,2,3,4,6,10,11,13)",0.67248,0.87418
37,"(1,2,3,5,6,8,12)",0.67448,0.87574
38,"(2,4,7,13)",0.68306,0.88144
39,"(1,2,7,8,10)",0.67706,0.87646
40,"(0,1,4,7,9,10,11)",0.67532,0.87512
41,"(0,1,10)",0.6761,0.87692
42,"(0,2,3,4,6,7,12,13)",0.6813,0.88022
43,"(0,2,6,8,9,12,13)",0.68346,0.8815
44,"(1,3,5,9,11,13)",0.67572,0.87584
45,"(0,2,4,5,7,10,12,13)",0.68258,0.87978
46,"(0,4,5,6,7,12,13)",0.68252,0.88084
47,"(0,3,4,6,12,13)",0.68208,0.88106
48,"(0,3,5,7,9,10,12,13)",0.68104,0.88048
49,"(1,2,3,4,6,8,11)",0.67376,0.875
50,"(1,2,3,4,9,10,11)",0.67368,0.87458
51,"(0,1,2,4,6,7)",0.67568,0.8761
52,"(2,3,5,9,11,13)",0.68376,0.88118
53,"(0,1,3,4,6,8,13)",0.67334,0.87556
54,"(1,5,6,8,10,11)",0.67692,0.87712
55,"(0,3,4,6,8,11)",0.68232,0.88144
56,"(0,2,4,5,6,10,11,12,13)",0.68196,0.87992
57,"(0,2,3,4,10)",0.68246,0.88138
58,"(5,6,8,11)",0.68418,0.88294
59,"(6,8,10,12)",0.6829,0.88114
60,"(3,8,13)",0.68252,0.88206
61,"(4,8,10,12)",0.68284,0.88144
62,"(1,3,6,8,9,10,11,12,13)",0.67396,0.87448
63,"(0,6,7,11)",0.68346,0.88204
64,"(0,1,5,10,11,12)",0.67572,0.8762
65,"(0,1,2,3,6,7)",0.6741,0.8761
66,"(1,2,3,5,7,11,13)",0.67486,0.87622
67,"(0,3,4,5,6,8,9,10)",0.68188,0.88176
68,"(1,2,4,5,8,10)",0.67682,0.876
69,"(2,3,6,11,12)",0.68268,0.88128
70,"(2,6,7,8,9,12,13)",0.68298,0.88088
71,"(1,5,7,8,10)",0.67682,0.87688
72,"(0,1,4,7,8,11,13)",0.6753,0.87652
73,"(3,5,7,11,12,13)",0.68292,0.881
74,"(1,3,6,7,8,12)",0.67474,0.87506
75,"(6,9,11)",0.68428,0.8824
76,"(0,4,7,8,13)",0.68212,0.88174
77,"(1,4,6,11)",0.67612,0.8762
78,"(3,7,8,11,12,13)",0.6831,0.88096
79,"(2,4,9,10,12)",0.68302,0.88062
80,"(0,1,2,3,6,11,12,13)",0.67304,0.87544
81,"(2,3,6,9,11,13)",0.68334,0.88092
82,"(1,2,3,4,5,6,7,10)",0.67312,0.87486
83,"(3,7,8,11)",0.68344,0.88178
84,"(2,5,8,9,10,11,13)",0.6837,0.88152
85,"(0,1,2,3,5,8,9,10,11,13)",0.67558,0.8755
86,"(2,3,4,5,7,8,9)",0.68308,0.88134
87,"(6,7,10)",0.68346,0.88126
88,"(0,3,5,6,7,9,10)",0.68178,0.8811
89,"(0,1,2,5,8,11,12,13)",0.6763,0.87634
90,"(1,3,4,5,6,7,8,9,10,13)",0.67448,0.87444
91,"(0,1,11,13)",0.67636,0.8765
92,"(0,2,4,6,7,9,10,11,12)",0.68242,0.88006
93,"(0,1,2,4,5,6,7,10,11,13)",0.67452,0.87594
94,"(0,2,4,7)",0.68362,0.88108
