,name,mAP
0,"(39, 55, 72)",68.7130651274363
1,"(11, 61, 65)",68.77057938397192
2,"(45, 51, 70)",68.35993479430543
3,"(18, 39, 43)",68.47807423578307
4,"(22, 32, 70)",68.65141979546172
5,"(0, 54, 70)",68.7034846299513
6,"(9, 16, 62)",68.64894272632404
7,"(14, 37, 53)",68.74295512646378
8,"(4, 63, 69)",68.71353778018172
9,"(0, 33, 53)",68.71798895089044
10,"(25, 26, 73)",68.5908413579294
11,"(16, 17, 18)",68.79119465401628
12,"(4, 11, 51)",68.77061195783409
13,"(48, 65, 66)",68.6434861619411
14,"(31, 55, 67)",68.80577233444443
15,"(13, 25, 74)",68.600796911761
16,"(0, 1, 39)",68.66690006771934
17,"(45, 47, 51)",68.1145541998075
18,"(0, 5, 44)",68.48431863452535
19,"(8, 54, 55)",68.70065838518319
20,"(25, 41, 64)",68.52933729335179
21,"(10, 29, 59)",68.7810008332718
22,"(31, 58, 65)",68.53142561551921
23,"(11, 28, 71)",68.602700096704
24,"(5, 10, 28)",68.50721596040823
25,"(5, 16, 33)",68.70479326896472
26,"(10, 18, 36)",68.7405129076122
27,"(7, 29, 62)",68.72849532528997
28,"(64, 71, 74)",68.7370288322076
29,"(7, 10, 27)",68.81636135882721
30,"(12, 57, 72)",68.79569456297872
31,"(1, 34, 59)",68.61708669863378
32,"(10, 41, 49)",68.84269928108043
33,"(34, 36, 62)",68.64425962428452
34,"(17, 25, 42)",68.5046782339588
35,"(2, 52, 67)",68.79317492465542
36,"(6, 17, 25)",68.46351890299427
37,"(15, 30, 47)",68.57169094422288
38,"(15, 48, 59)",68.77659469994455
39,"(21, 48, 63)",68.78311012099545
40,"(21, 26, 33)",68.6783518239136
41,"(16, 37, 54)",68.77816841397176
42,"(25, 56, 57)",68.55705196873186
43,"(19, 20, 41)",68.76553277173394
44,"(20, 23, 54)",68.80305296839111
45,"(23, 32, 33)",68.67375770623643
46,"(12, 19, 47)",68.59469017918539
47,"(42, 53, 68)",68.57519779733433
48,"(45, 54, 62)",68.2554707389539
49,"(12, 43, 73)",68.48431783592778
50,"(19, 57, 59)",68.801513744569
51,"(57, 67, 74)",68.82830163876784
52,"(20, 38, 42)",68.58862012742237
53,"(44, 49, 65)",68.64113724947676
54,"(1, 20, 47)",68.61946259081972
55,"(11, 25, 69)",68.5843316978576
56,"(4, 5, 8)",68.66366815143572
57,"(29, 38, 44)",68.35918603515563
58,"(11, 23, 73)",68.7691473533597
59,"(7, 14, 25)",68.55479174297653
60,"(9, 30, 69)",68.65218194239301
61,"(24, 31, 73)",68.71505173138527
62,"(20, 42, 58)",68.3427400463473
63,"(14, 46, 73)",68.63695410178974
64,"(26, 38, 48)",68.60899083335637
65,"(28, 44, 49)",68.5066590337706
66,"(1, 5, 10)",68.71777913458973
67,"(41, 60, 65)",68.80899994066323
68,"(27, 54, 55)",68.79736715331092
69,"(9, 58, 64)",68.5041934271891
70,"(5, 15, 43)",68.58827309139998
71,"(13, 40, 49)",68.53578931572271
72,"(41, 60, 63)",68.74822787073902
73,"(21, 30, 31)",68.55208049422934
74,"(13, 43, 49)",68.74187599644974
75,"(5, 26, 44)",68.53693025645875
76,"(28, 37, 69)",68.50673063555878
77,"(55, 57, 59)",68.72932362610544
78,"(35, 54, 56)",68.67510526138443
79,"(0, 39, 47)",68.57032939675622
80,"(12, 14, 43)",68.49317330570395
81,"(8, 23, 30)",68.51598024826815
82,"(1, 27, 39)",68.65849261708533
83,"(4, 8, 49)",68.64309222962758
84,"(11, 23, 60)",68.79332049669505
85,"(50, 55, 73)",68.67923953050216
86,"(14, 20, 26)",68.64186246339126
87,"(25, 54, 68)",68.5126899823164
88,"(33, 48, 62)",68.60146228011081
89,"(24, 47, 72)",68.56497932033567
90,"(25, 36, 44)",68.38762664882708
91,"(17, 24, 41)",68.75499039126267
92,"(2, 20, 73)",68.75354163861594
93,"(4, 45, 52)",68.3823276697101
94,"(1, 11, 24)",68.65071059373096
95,"(19, 40, 47)",68.3706392892833
96,"(21, 56, 59)",68.62584333639097
97,"(22, 28, 54)",68.59624605682414
98,"(4, 27, 42)",68.63697167418394
99,"(25, 39, 53)",68.52552298890387
100,"(2, 13, 39)",68.77475379324811
101,"(24, 58, 70)",68.58322132872958
102,"(1, 23, 49)",68.81841880332071
103,"(3, 7, 55)",68.46025540753857
104,"(17, 49, 74)",68.98508242159369
105,"(8, 14, 28)",68.51419516443482
106,"(13, 54, 62)",68.72244986013449
107,"(13, 30, 35)",68.59951879912802
108,"(36, 40, 72)",68.44956216958813
109,"(16, 36, 49)",68.92080824224276
110,"(6, 23, 66)",68.54633774230912
111,"(16, 30, 71)",68.57283416590934
112,"(3, 40, 59)",68.23952279622222
113,"(11, 13, 29)",68.78348578143745
114,"(0, 58, 74)",68.56918651773591
115,"(15, 47, 62)",68.57427036103785
116,"(4, 40, 63)",68.57617232493067
117,"(11, 50, 52)",68.78232389863764
118,"(47, 56, 72)",68.4821033532145
119,"(17, 36, 74)",68.79166469349968
120,"(40, 43, 44)",68.19601335404859
121,"(0, 1, 26)",68.66809958579661
122,"(4, 8, 25)",68.50957997302103
123,"(16, 57, 74)",68.77068661542711
124,"(18, 59, 62)",68.63439567744574
125,"(2, 54, 66)",68.76695780244586
126,"(49, 50, 55)",68.77451897037871
127,"(19, 43, 50)",68.55908603200834
128,"(1, 17, 63)",68.69018434905212
129,"(11, 60, 66)",68.73423743428158
130,"(64, 70, 73)",68.68343287411284
131,"(7, 12, 36)",68.814107063489
132,"(6, 27, 51)",68.60244843549556
133,"(10, 16, 73)",68.73442099008048
134,"(9, 41, 58)",68.47280495409696
135,"(11, 14, 58)",68.55187783859972
136,"(18, 58, 72)",68.51115601866226
137,"(8, 30, 42)",68.5354246013564
138,"(13, 27, 73)",68.68625595266255
139,"(22, 47, 53)",68.58637078285858
140,"(38, 55, 61)",68.65673060264653
141,"(2, 5, 33)",68.83713742538772
142,"(6, 26, 55)",68.59176929109381
143,"(5, 8, 23)",68.63681748098836
144,"(30, 47, 54)",68.58383240765417
145,"(4, 51, 56)",68.71710773615271
146,"(25, 45, 58)",67.90862719934319
147,"(6, 19, 38)",68.53870685980486
148,"(13, 16, 60)",68.80720815708706
149,"(14, 51, 61)",68.81044590593646
150,"(33, 65, 69)",68.71325009537604
151,"(12, 37, 66)",68.67586616207925
152,"(2, 10, 14)",68.84652904622416
153,"(29, 53, 72)",68.69030494509742
154,"(1, 39, 55)",68.63514995337191
155,"(41, 47, 53)",68.67561502215825
156,"(8, 19, 22)",68.64524600844815
157,"(1, 36, 66)",68.6141525386786
158,"(23, 69, 73)",68.76920040417444
159,"(46, 49, 56)",68.69002927257833
160,"(20, 48, 70)",68.68225589751427
161,"(6, 15, 28)",68.52942281174737
162,"(3, 23, 38)",68.36019816521801
163,"(1, 14, 23)",68.6161224546846
164,"(9, 40, 71)",68.38833531417211
165,"(0, 12, 47)",68.53282375678245
