,name,top1,top5
0,"(4,8,12)",0.68374,0.88188
1,"(0,1,11)",0.67736,0.87738
2,"(6,8,12)",0.684,0.88204
3,"(0,8,10)",0.68336,0.88212
4,"(1,8,10)",0.6768,0.87694
5,"(4,6,9)",0.68368,0.88206
6,"(2,11,12)",0.6838,0.882
7,"(5,7,8)",0.68296,0.88208
8,"(3,5,9)",0.68358,0.8823
9,"(0,2,8)",0.68446,0.8822
10,"(2,4,7)",0.68366,0.88152
11,"(4,8,9)",0.68382,0.88238
12,"(4,5,7)",0.68338,0.8817
13,"(1,5,7)",0.67796,0.87734
14,"(0,7,13)",0.6825,0.88216
15,"(5,8,13)",0.68368,0.88222
16,"(0,7,12)",0.68288,0.88174
17,"(0,2,12)",0.68356,0.88164
18,"(5,8,11)",0.68396,0.88298
19,"(0,7,9)",0.68326,0.8825
20,"(2,4,9)",0.68358,0.88178
21,"(7,9,13)",0.68294,0.88204
22,"(1,8,13)",0.67694,0.87724
23,"(1,5,13)",0.67756,0.87746
24,"(5,6,8)",0.68406,0.8823
25,"(0,9,10)",0.68342,0.88212
26,"(0,1,7)",0.6769,0.87694
27,"(3,4,9)",0.68272,0.88214
28,"(6,9,12)",0.68418,0.88216
29,"(0,5,7)",0.68312,0.8826
30,"(6,8,9)",0.68392,0.88246
31,"(6,10,13)",0.68344,0.88176
32,"(1,5,6)",0.67824,0.87738
33,"(7,11,13)",0.6839,0.88198
34,"(2,5,6)",0.684,0.88226
35,"(6,7,12)",0.68374,0.88166
36,"(0,6,9)",0.68374,0.88242
37,"(0,1,5)",0.67784,0.87774
38,"(2,3,12)",0.68334,0.88118
39,"(3,4,6)",0.68268,0.88174
40,"(5,6,7)",0.6835,0.88204
41,"(9,10,12)",0.6836,0.88098
42,"(5,12,13)",0.6839,0.88174
43,"(1,3,5)",0.6762,0.8767
44,"(3,7,9)",0.68268,0.8818
45,"(0,9,13)",0.68288,0.88278
46,"(9,10,11)",0.68328,0.88178
47,"(7,10,12)",0.68282,0.88024
48,"(5,9,13)",0.68412,0.88198
49,"(4,11,12)",0.68436,0.88182
50,"(3,6,11)",0.6831,0.8819
51,"(4,8,10)",0.68296,0.88156
52,"(2,4,11)",0.6838,0.88164
53,"(9,11,13)",0.68422,0.88236
54,"(1,7,13)",0.67608,0.8767
55,"(1,10,11)",0.6761,0.87674
56,"(3,6,7)",0.68214,0.88174
57,"(6,9,13)",0.68358,0.88178
58,"(0,5,10)",0.68322,0.8824
59,"(1,5,12)",0.67758,0.87698
60,"(5,7,13)",0.68332,0.88192
61,"(2,6,10)",0.68382,0.8811
62,"(0,3,12)",0.6829,0.8821
63,"(3,4,8)",0.6832,0.88156
64,"(1,7,8)",0.67706,0.87688
65,"(5,11,12)",0.68492,0.8824
66,"(0,2,10)",0.684,0.88164
67,"(2,6,7)",0.6833,0.88138
68,"(0,9,12)",0.68324,0.88228
69,"(2,3,8)",0.68384,0.88206
70,"(2,9,13)",0.6844,0.88192
71,"(0,3,4)",0.68216,0.88186
72,"(3,5,8)",0.68304,0.88204
73,"(5,7,9)",0.68402,0.88222
74,"(1,2,3)",0.67476,0.87598
75,"(0,4,8)",0.68292,0.8826
76,"(0,4,5)",0.6825,0.88202
77,"(7,9,10)",0.6834,0.88174
78,"(4,7,13)",0.68262,0.88182
79,"(3,12,13)",0.6824,0.88104
80,"(3,5,6)",0.68282,0.88178
81,"(0,9,11)",0.68392,0.8827
82,"(8,12,13)",0.68378,0.88214
83,"(7,9,11)",0.6845,0.88236
84,"(0,3,5)",0.68276,0.88248
85,"(0,2,9)",0.68434,0.88186
86,"(6,10,12)",0.68294,0.88088
87,"(2,3,5)",0.68338,0.88186
88,"(0,7,10)",0.68332,0.88152
89,"(4,9,12)",0.6835,0.88172
90,"(2,7,9)",0.68326,0.88208
91,"(0,6,12)",0.6828,0.88184
92,"(2,7,10)",0.6837,0.88126
93,"(4,5,10)",0.6836,0.88176
94,"(1,3,6)",0.67494,0.87632
95,"(1,3,8)",0.676,0.87626
96,"(4,10,12)",0.683,0.88132
97,"(1,10,13)",0.67572,0.87634
98,"(3,7,10)",0.6824,0.88108
99,"(0,4,7)",0.68304,0.88226
100,"(4,9,10)",0.68334,0.88152
101,"(3,5,10)",0.6826,0.88158
102,"(2,4,6)",0.6836,0.8816
103,"(5,6,13)",0.68324,0.88216
104,"(4,7,11)",0.68356,0.882
105,"(4,7,8)",0.68348,0.88242
106,"(0,2,5)",0.684,0.8822
107,"(2,4,13)",0.68282,0.88214
108,"(4,5,12)",0.68436,0.88152
109,"(0,1,3)",0.67504,0.87592
110,"(0,1,4)",0.67614,0.87654
111,"(2,5,11)",0.68422,0.88206
112,"(2,9,10)",0.6839,0.8816
113,"(4,5,9)",0.68392,0.88234
114,"(6,9,10)",0.68364,0.88156
115,"(6,11,12)",0.68422,0.88232
116,"(1,3,4)",0.67474,0.87554
117,"(0,5,12)",0.68416,0.88192
118,"(2,5,7)",0.68356,0.88194
119,"(10,12,13)",0.683,0.88106
120,"(2,3,4)",0.68262,0.88168
121,"(4,9,11)",0.68414,0.88238
122,"(3,4,13)",0.68276,0.88152
123,"(3,8,9)",0.68314,0.88212
124,"(0,6,11)",0.68352,0.88242
125,"(1,4,11)",0.6765,0.87658
126,"(1,6,13)",0.6772,0.87642
127,"(7,8,12)",0.68362,0.88166
128,"(2,8,11)",0.68376,0.88208
129,"(1,10,12)",0.67604,0.87622
130,"(3,10,12)",0.68234,0.8812
131,"(5,8,10)",0.68296,0.88238
132,"(0,5,13)",0.68334,0.88268
133,"(7,8,10)",0.68316,0.88152
134,"(0,11,13)",0.68352,0.88266
135,"(6,8,11)",0.6842,0.8826
136,"(5,10,13)",0.68322,0.88154
137,"(0,6,13)",0.68272,0.88192
138,"(3,6,9)",0.68294,0.882
139,"(1,2,13)",0.67622,0.87728
140,"(1,4,6)",0.67606,0.87586
141,"(1,9,13)",0.6768,0.87648
142,"(2,8,13)",0.6845,0.8818
143,"(0,3,10)",0.68202,0.88154
144,"(7,8,9)",0.6846,0.88228
145,"(1,7,9)",0.67754,0.87668
146,"(1,3,7)",0.67534,0.87576
147,"(3,8,13)",0.68252,0.88206
148,"(0,6,10)",0.68346,0.88202
149,"(3,7,8)",0.68326,0.88198
150,"(1,5,11)",0.67822,0.87754
151,"(4,7,12)",0.68352,0.88104
152,"(4,6,7)",0.68324,0.88158
153,"(3,5,13)",0.68284,0.88208
154,"(5,9,10)",0.6839,0.88188
155,"(1,3,9)",0.67592,0.87566
156,"(3,5,7)",0.683,0.88192
157,"(6,12,13)",0.68386,0.88154
158,"(8,9,13)",0.68364,0.88252
159,"(5,6,9)",0.68472,0.8825
160,"(0,1,10)",0.6761,0.87692
161,"(0,10,12)",0.68278,0.88092
162,"(7,9,12)",0.68396,0.88196
163,"(2,3,9)",0.68328,0.88202
164,"(0,2,7)",0.68404,0.88164
165,"(3,7,11)",0.6834,0.88202
166,"(1,2,11)",0.6777,0.87668
167,"(8,9,10)",0.68394,0.8818
168,"(9,12,13)",0.68418,0.88186
169,"(4,5,6)",0.68358,0.88204
170,"(6,9,11)",0.68428,0.8824
171,"(3,4,5)",0.68328,0.8819
172,"(3,11,13)",0.68344,0.88182
173,"(5,11,13)",0.68352,0.8824
174,"(1,4,9)",0.67688,0.87582
175,"(3,10,11)",0.68272,0.88144
176,"(2,4,12)",0.68332,0.88144
177,"(0,6,8)",0.68334,0.8824
178,"(2,5,9)",0.68416,0.88244
179,"(7,10,11)",0.68332,0.88162
180,"(2,11,13)",0.68408,0.8819
181,"(2,5,8)",0.68408,0.88258
182,"(1,4,5)",0.67738,0.87664
183,"(4,6,10)",0.68354,0.8814
184,"(0,4,6)",0.6833,0.88208
185,"(3,9,13)",0.68274,0.88166
186,"(0,5,8)",0.68356,0.88286
187,"(2,7,13)",0.68334,0.88194
188,"(3,9,12)",0.68294,0.88178
189,"(6,7,10)",0.68346,0.88126
190,"(1,2,12)",0.67668,0.8772
191,"(0,5,11)",0.68424,0.8829
192,"(1,8,9)",0.6777,0.87658
193,"(0,3,8)",0.68316,0.88228
194,"(1,4,7)",0.67612,0.8762
195,"(1,5,9)",0.67798,0.87742
