,op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name,range,rmse/scale
0,CONV_2D,307,11829248.0,0.10788563,-0.004468352,0.7478957,0.011704739,0.31175736,-2,model_1/bnorm_0/FusedBatchNormV3;model_1/conv_2/Conv2D;model_1/conv_0/Conv2D,79.4981268,0.34702770796300675
1,LEAKY_RELU,311,11829248.0,0.050153375,-0.0009239159,0.10551533,0.0025227426,0.1734209,-105,model_1/leaky_0/LeakyRelu,44.2223295,0.28962432505808616
2,PAD,315,11868192.0,0.0,0.0,0.0,0.0,0.1734209,-105,model_1/zero_padding2d_1/Pad,44.2223295,0.0
3,CONV_2D,319,5914624.0,0.091046095,-0.0026885367,0.3313202,0.00829898,0.31351492,4,model_1/bnorm_1/FusedBatchNormV3;model_1/conv_9/Conv2D;model_1/conv_1/Conv2D,79.94630459999999,0.29057225615350907
4,LEAKY_RELU,323,5914624.0,0.043699138,0.004909124,0.094118364,0.0019442687,0.16721323,-103,model_1/leaky_1/LeakyRelu,42.639373649999996,0.2636984070261081
5,CONV_2D,327,2957312.0,0.064884335,0.0018863304,0.3492339,0.0042149876,0.21683353,32,model_1/bnorm_2/FusedBatchNormV3;model_1/conv_2/Conv2D,55.29255015,0.2994137293007688
6,LEAKY_RELU,331,2957312.0,0.02813692,-0.005673456,0.05866581,0.00082534587,0.09405099,-91,model_1/leaky_2/LeakyRelu,23.98300245,0.30546019160108623
7,CONV_2D,335,5914624.0,0.08066588,-0.003697112,0.35388923,0.0065221335,0.26981443,14,model_1/bnorm_3/FusedBatchNormV3;model_1/conv_9/Conv2D;model_1/conv_3/Conv2D,68.80267965,0.2993158185362247
8,LEAKY_RELU,339,5914624.0,0.037806608,-0.024557324,0.08072062,0.0020329095,0.1344465,-99,model_1/leaky_3/LeakyRelu,34.283857499999996,0.3353586570425718
9,ADD,343,5914624.0,0.038634878,-0.011727274,0.09747498,0.0016329184,0.16947694,-100,model_1/add_1/add,43.216619699999995,0.2384358901483916
10,PAD,347,5953600.0,0.0,0.0,0.0,0.0,0.16947694,-100,model_1/zero_padding2d_2/Pad,43.216619699999995,0.0
11,CONV_2D,351,2957312.0,0.051819284,-0.0006415932,0.24911931,0.002685748,0.17673999,5,model_1/bnorm_5/FusedBatchNormV3;model_1/conv_103/Conv2D;model_1/conv_5/Conv2D,45.06869745,0.29322284583124547
12,LEAKY_RELU,355,2957312.0,0.029098962,-0.003458225,0.058601316,0.0008600901,0.09394904,-103,model_1/leaky_5/LeakyRelu,23.9570052,0.3121617075517365
