,op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name,range,rmse/scale
0,CONV_2D,307,11829248.0,0.12260011,-0.005382515,0.76407176,0.015086927,0.37275138,12,model_1/bnorm_0/FusedBatchNormV3;model_1/conv_2/Conv2D;model_1/conv_0/Conv2D,95.05160190000001,0.32951951103085314
1,LEAKY_RELU,311,11829248.0,0.04577526,-0.001547055,0.11593727,0.002114017,0.18842618,-100,model_1/leaky_0/LeakyRelu,48.0486759,0.24401301666210057
2,PAD,315,11868192.0,0.0,0.0,0.0,0.0,0.18842618,-100,model_1/zero_padding2d_1/Pad,48.0486759,0.0
3,CONV_2D,319,5914624.0,0.11157496,-0.0009272592,0.33548942,0.012453315,0.3867021,7,model_1/bnorm_1/FusedBatchNormV3;model_1/conv_9/Conv2D;model_1/conv_1/Conv2D,98.6090355,0.2885798186862857
4,LEAKY_RELU,323,5914624.0,0.055196043,0.0014925033,0.12574689,0.003072194,0.20302613,-102,model_1/leaky_1/LeakyRelu,51.77166315,0.2730061194959406
5,CONV_2D,327,2957312.0,0.07840566,0.0021530422,0.37871405,0.00615311,0.2648924,24,model_1/bnorm_2/FusedBatchNormV3;model_1/conv_2/Conv2D,67.547562,0.29612688713005575
6,LEAKY_RELU,331,2957312.0,0.0343883,-0.010012508,0.076064646,0.0012860586,0.12291452,-95,model_1/leaky_2/LeakyRelu,31.3432026,0.29176096682439123
7,CONV_2D,335,5914624.0,0.096810624,0.000631805,0.36732733,0.009373921,0.32694727,13,model_1/bnorm_3/FusedBatchNormV3;model_1/conv_9/Conv2D;model_1/conv_3/Conv2D,83.37155385,0.2961303563195753
8,LEAKY_RELU,339,5914624.0,0.050429642,-0.020707319,0.101967916,0.0029723032,0.16476873,-100,model_1/leaky_3/LeakyRelu,42.01602615,0.33088094715018007
9,ADD,343,5914624.0,0.05204414,-0.011024433,0.10614886,0.0028344188,0.21244803,-101,model_1/add_1/add,54.174247650000005,0.25059898154752325
10,PAD,347,5953600.0,0.0,0.0,0.0,0.0,0.21244803,-101,model_1/zero_padding2d_2/Pad,54.174247650000005,0.0
11,CONV_2D,351,2957312.0,0.059037894,-0.00069769355,0.24766375,0.0034860473,0.20186974,0,model_1/bnorm_5/FusedBatchNormV3;model_1/conv_103/Conv2D;model_1/conv_5/Conv2D,51.4767837,0.2924794881839561
12,LEAKY_RELU,355,2957312.0,0.032038298,-0.0013889598,0.0690166,0.0010300621,0.11070072,-105,model_1/leaky_5/LeakyRelu,28.2286836,0.2899220577734226
13,CONV_2D,359,1478656.0,0.028544238,-0.0005326777,0.108910725,0.0008152063,0.09441295,-4,model_1/bnorm_6/FusedBatchNormV3;model_1/conv_9/Conv2D;model_1/conv_6/Conv2D,24.07530225,0.3024142112446105
14,LEAKY_RELU,363,1478656.0,0.015799263,-0.0031910988,0.03260759,0.00025987305,0.053213492,-106,model_1/leaky_6/LeakyRelu,13.569440460000001,0.3029415634584998
15,CONV_2D,367,2957312.0,0.045760054,-0.0010478974,0.14742152,0.0020951426,0.15583575,28,model_1/bnorm_7/FusedBatchNormV3;model_1/conv_103/Conv2D;model_1/conv_7/Conv2D,39.73811625,0.293724178745905
16,LEAKY_RELU,371,2957312.0,0.019542307,-0.009940538,0.039921496,0.0004813304,0.0699854,-93,model_1/leaky_7/LeakyRelu,17.846277,0.31348314617077455
17,ADD,375,2957312.0,0.029127417,-0.019163484,0.05558014,0.0012184486,0.11118905,-103,model_1/add_2/add,28.35320775,0.31393633727460923
18,CONV_2D,379,1478656.0,0.045566,0.0007425128,0.18365425,0.002076944,0.14773068,37,model_1/bnorm_9/FusedBatchNormV3;model_1/conv_9/Conv2D,37.6713234,0.3084904305080258
19,LEAKY_RELU,383,1478656.0,0.017939812,-0.006262657,0.037891462,0.00036108063,0.061502352,-88,model_1/leaky_9/LeakyRelu,15.683099760000001,0.3089657729453856
20,CONV_2D,387,2957312.0,0.054569498,-0.0005597142,0.20985937,0.0029783186,0.18417706,4,model_1/bnorm_10/FusedBatchNormV3;model_1/conv_103/Conv2D;model_1/conv_10/Conv2D,46.9651503,0.2963125464726709
