,name,mAP
0,0-0,68.74730479290976
1,0-1,68.72349735224795
2,0-2,68.6955259225945
3,0-3,68.38081529747555
4,0-4,68.36895101359602
5,0-5,68.3360866137418
6,0-6,68.38943901944724
7,0-7,68.32885642837977
8,0-8,68.31714749702785
9,0-9,68.25266190029018
10,0-10,68.2942636515332
11,0-11,68.23828272353268
12,0-12,68.21584690861744
13,0-13,68.24221875900515
14,0-14,68.25249021419545
15,0-15,68.26791079717182
16,0-16,68.26118506240017
17,0-17,68.26654124169472
18,0-18,68.27663316948187
19,0-19,68.23341543964258
20,0-20,68.17729505942319
21,0-21,68.20140216120862
22,0-22,68.1974276244455
23,0-23,68.12793285692756
24,0-24,68.07945890020405
25,0-25,67.78322120706576
26,0-26,67.77642142412039
27,0-27,67.80596186423983
28,0-28,67.69983767357124
29,0-29,67.74383919170381
30,0-30,67.66866965124572
31,0-31,67.65661425579643
32,0-32,67.61676568325214
33,0-33,67.5861214186723
34,0-34,67.53999721297811
35,0-35,67.50564655340551
36,0-36,67.51291747544089
37,0-37,67.49328042325364
38,0-38,67.37014732916464
39,0-39,67.32028885610393
40,0-40,67.08891657837822
41,0-41,67.01941817666878
42,0-42,66.77487040094941
43,0-43,66.67220627242244
44,0-44,66.54450671881814
45,0-45,65.9235084841717
46,0-46,65.74362591241112
47,0-47,65.42457610125922
48,0-48,65.39371925140294
49,0-49,65.26749295187788
50,0-50,65.06649399227302
51,0-51,65.06986432162132
52,0-52,65.04750022765838
53,0-53,65.04503515224441
54,0-54,65.07299110645042
55,0-55,65.0637485353734
56,0-56,65.05034156828926
57,0-57,65.04757338703644
58,0-58,64.95982210860261
59,0-59,64.98229399855454
60,0-60,65.10174815911046
61,0-61,64.98802351632781
62,0-62,65.00817282984849
63,0-63,64.98093314458717
64,0-64,64.94178637378944
65,0-65,64.92769024626655
66,0-66,64.81624005809154
67,0-67,64.7763971384445
68,0-68,64.77156707885547
69,0-69,64.77997686757423
70,0-70,64.74354369956124
